City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dunedin,-45.8742,170.5036,10.45,90,100,2.68,NZ,1702410891
1,arteche,12.2645,125.4048,26.01,88,23,4.48,PH,1702410892
2,invercargill,-46.4,168.35,10.33,91,100,6.37,NZ,1702410892
3,kidal,18.4411,1.4078,20.07,21,0,4.93,ML,1702410892
4,ilulissat,69.2167,-51.1,-4.99,74,75,4.63,GL,1702410892
5,nouadhibou,20.931,-17.0347,22.99,31,99,2.06,MR,1702410892
6,trincomalee,8.5711,81.2335,26.73,76,100,6.45,LK,1702410828
7,tyukhtet,56.5389,89.3011,-38.06,100,55,1.53,RU,1702410892
8,kapa'a,22.0752,-159.319,24.5,86,100,2.06,US,1702410892
9,isafjordur,66.0755,-23.124,-0.12,87,100,6.21,IS,1702410893
10,taltal,-25.4,-70.4833,21.29,65,28,3.83,CL,1702410893
11,bamboo flat,11.7,92.7167,28.05,83,20,1.03,IN,1702410893
12,waitangi,-43.9535,-176.5597,12.12,83,65,1.34,NZ,1702410893
13,mar del plata,-38.0023,-57.5575,31.02,74,75,8.49,AR,1702410455
14,ivdel',60.6911,60.4206,-18.78,84,100,1.79,RU,1702410893
15,mirnyy,62.5353,113.9611,-28.57,95,100,3.98,RU,1702410893
16,mitu,1.1983,-70.1733,31.49,59,60,0.95,CO,1702410893
17,mogadishu,2.0371,45.3438,27.4,82,98,6.09,SO,1702410893
18,pedernales,18.0384,-71.744,30.22,54,7,3.2,DO,1702410894
19,blackmans bay,-43.0167,147.3167,13.62,83,97,1.81,AU,1702410894
20,byron bay,-28.65,153.6167,21.22,77,100,0.92,AU,1702410894
21,port mathurin,-19.6833,63.4167,26.35,77,62,5.3,MU,1702410894
22,grytviken,-54.2811,-36.5092,5.68,94,100,5.15,GS,1702410894
23,mocimboa,-11.3167,40.35,25.39,90,29,2.14,MZ,1702410894
24,kukawa,12.9234,13.5606,20.05,39,24,3.38,NG,1702410894
25,bangui,4.3612,18.555,21.1,78,100,2.57,CF,1702410894
26,liwale,-9.7667,37.9333,22.32,95,93,1.33,TZ,1702410895
27,ghat,24.9647,10.1728,15.54,23,0,1.16,LY,1702410895
28,antalaha,-14.9003,50.2788,24.25,89,69,2.51,MG,1702410895
29,longyearbyen,78.2186,15.6401,-9.09,62,40,5.66,SJ,1702410895
30,chinde,26.8418,88.0763,10.38,70,64,1.85,NP,1702410895
31,minas de marcona,-15.2119,-75.1103,21.07,59,32,5.75,PE,1702410895
32,sisimiut,66.9395,-53.6735,-7.44,92,100,6.15,GL,1702410895
33,tofol,5.3248,163.0078,28.2,78,86,6.68,FM,1702410895
34,toliara,-23.35,43.6667,25.49,74,93,3.28,MG,1702410895
35,axim,4.8699,-2.2405,27.23,79,5,2.27,GH,1702410896
36,iskateley,67.6803,53.1512,-13.88,96,88,4.02,RU,1702410896
37,chibougamau,49.9168,-74.3659,-6.21,86,100,4.12,CA,1702410896
38,frontera,26.9333,-101.45,16.61,52,78,1.34,MX,1702410896
39,morondava,-20.2833,44.2833,27.74,74,55,1.97,MG,1702410896
40,viedma,-40.8135,-62.9967,21.58,37,94,7.22,AR,1702410896
41,cheremukhovo,60.3484,59.9851,-19.46,81,100,2.68,RU,1702410896
42,adamstown,-25.066,-130.1015,21.05,90,100,4.15,PN,1702410896
43,tura,25.5198,90.2201,15.63,85,100,0.87,IN,1702410897
44,west island,-12.1568,96.8225,25.99,78,75,2.57,CC,1702410897
45,umm kaddadah,13.6017,26.6876,19.22,25,63,5.96,SD,1702410897
46,margaret river,-33.95,115.0667,16.05,89,3,2.56,AU,1702410897
47,edinburgh of the seven seas,-37.0676,-12.3116,15.38,95,100,6.34,SH,1702410897
48,wailua homesteads,22.0669,-159.378,23.75,87,100,2.06,US,1702410897
